LotFrontage,LotArea,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SalePrice
70,8176,1958,1992,846,210,1056,1056,0,1056,308,0,0,0,8,2007,139000
85,10655,2003,2004,1124,1603,3206,1629,0,1629,880,0,0,0,10,2009,284000
59,8198,2004,2004,720,638,1358,1358,0,1358,484,192,30,0,7,2008,207000
59,9042,1998,1998,828,115,943,943,695,1638,472,100,38,0,7,2008,192000
70,164660,1965,1965,1249,103,1499,1619,167,1786,529,670,0,0,8,2008,228950
86,14157,2005,2006,1249,673,1922,1922,0,1922,676,178,51,0,7,2007,377426
70,9135,2002,2003,810,726,1536,1536,0,1536,532,192,74,0,12,2008,214000
91,14145,1984,1998,213,995,1208,1621,0,1621,440,108,45,0,5,2006,202500
66,12400,1958,1998,585,630,1215,1215,0,1215,297,0,0,0,6,2009,155000
85,14191,2002,2002,0,967,967,993,915,1908,431,135,0,0,4,2010,202900
60,8400,1950,1950,0,721,721,841,0,841,294,250,0,24,9,2009,82000
70,8544,1949,1950,0,0,0,1040,0,1040,400,0,0,0,5,2006,87500
63,8849,2005,2005,28,1656,1684,1684,0,1684,564,495,72,0,7,2008,266000
36,2592,1976,1976,129,175,536,536,576,1112,336,182,0,0,4,2010,85000
65,6435,1939,1950,0,972,972,972,605,1577,312,0,0,0,10,2006,140200
70,12772,1960,1998,498,460,958,958,0,958,301,0,0,0,4,2007,151500
70,17600,1960,1960,1270,208,1478,1478,0,1478,498,0,40,0,12,2009,157500
36,2448,2003,2004,573,191,764,764,862,1626,474,0,27,0,10,2008,154000
56,20431,2005,2006,1410,438,1848,1848,880,2728,706,0,0,0,4,2006,437154
68,7820,2007,2007,0,1869,1869,1869,0,1869,617,210,54,0,12,2007,318061
70,5271,1986,1986,1082,371,1453,1453,0,1453,445,0,80,0,12,2006,190000
60,9084,1941,1950,236,0,616,616,495,1111,200,48,0,0,3,2008,95000
60,8520,1928,2003,0,624,624,720,0,720,484,106,0,0,5,2010,105900
60,8400,1940,2000,388,552,940,1192,403,1595,240,0,0,108,6,2006,140000
105,11249,1995,1995,334,322,1200,1200,0,1200,521,0,26,0,8,2007,177500
70,9248,1992,1992,560,598,1158,1167,0,1167,400,120,26,0,7,2009,173000
44,4224,1976,1976,874,268,1142,1142,0,1142,528,536,90,0,8,2007,134000
92,6930,1958,1958,300,468,1062,1352,0,1352,288,168,0,294,7,2006,130000
78,12011,1998,1998,956,130,1086,1086,838,1924,592,208,75,0,6,2006,280000
70,7540,1978,1978,773,115,888,912,0,912,470,0,0,0,6,2007,156000
70,9144,1940,1982,399,484,883,988,517,1505,240,0,0,0,7,2008,145000
64,7301,2003,2003,0,0,0,495,1427,1922,672,0,0,177,7,2009,198500
21,1680,1972,2007,162,321,483,483,504,987,264,250,0,0,5,2009,118000
70,18800,1976,1976,712,84,796,790,784,1574,566,306,111,0,7,2006,190000
59,10690,1920,1997,456,216,672,672,672,1344,468,0,128,218,7,2009,147000
70,9500,1963,1963,609,785,1394,1394,0,1394,514,0,76,0,7,2009,159000
101,9150,1962,1962,371,728,1099,1431,0,1431,296,64,110,0,12,2008,165000
78,7800,1954,1954,540,728,1268,1268,0,1268,244,0,98,0,3,2010,132000
70,9830,1959,2006,72,733,1063,1287,0,1287,576,364,17,0,3,2010,162000
70,8121,2000,2000,0,953,953,953,711,1664,460,100,40,0,1,2006,172400
80,17120,1959,1959,0,0,0,1120,468,1588,680,0,59,0,7,2008,134432
50,7175,1984,1984,623,0,744,752,0,752,264,353,0,0,2,2010,125000
79,10634,1953,1953,428,0,608,1319,0,1319,270,66,0,0,11,2009,123000
65,8200,2003,2004,0,847,847,847,1081,1928,434,100,48,0,7,2007,219500
70,10020,1922,1950,350,333,683,904,0,904,0,0,0,0,3,2009,61000
57,8846,1996,1996,298,572,870,914,0,914,576,0,0,0,7,2006,148000
102,11143,2004,2005,0,1580,1580,1580,886,2466,610,159,214,0,12,2007,340000
88,11394,2010,2010,1445,411,1856,1856,0,1856,834,113,0,0,6,2010,394432
60,8123,2000,2000,0,982,982,1007,793,1800,463,100,63,0,6,2009,179000
50,5000,1924,1950,218,808,1026,1026,665,1691,308,0,0,242,5,2010,127000
60,7200,2006,2006,0,1293,1293,1301,0,1301,572,216,121,0,8,2006,187750
79,9245,2006,2006,0,939,939,939,858,1797,639,144,53,0,4,2007,213500
60,9000,1928,1950,0,784,784,784,0,784,360,0,0,91,10,2009,76000
70,53107,1992,1992,985,595,1580,1079,874,1953,501,216,231,0,6,2007,240000
43,3182,2004,2005,24,1232,1256,1269,0,1269,430,146,20,0,4,2010,192000
58,8410,1910,1996,0,658,658,658,526,1184,0,0,151,0,5,2006,81000
72,7200,1976,1976,631,410,1041,1125,0,1125,352,296,0,0,10,2009,125000
93,9382,1999,2000,0,1468,1468,1479,0,1479,577,120,25,0,7,2008,191000
96,12474,2007,2008,1280,402,1682,1742,590,2332,846,196,134,0,8,2008,426000
50,8405,1900,1950,241,229,861,961,406,1367,384,0,130,112,4,2008,119000
71,12209,2001,2002,690,114,804,804,1157,1961,560,125,192,0,6,2009,215000
70,8339,1959,1959,0,0,0,882,0,882,294,0,0,0,7,2007,106500
70,7446,1941,1950,266,522,788,788,0,788,0,0,0,0,4,2006,100000
60,10134,1940,1950,0,735,735,735,299,1034,240,0,39,0,7,2007,109000
68,9571,1956,1956,739,405,1144,1144,0,1144,596,44,0,0,6,2010,129000
60,7200,1972,1972,777,117,894,894,0,894,600,215,0,0,9,2009,123000
69,7590,1962,1962,540,324,864,876,936,1812,264,0,168,0,7,2007,169500
60,8967,1920,1950,0,961,961,1077,0,1077,338,0,0,0,11,2007,67000
65,8125,2006,2007,812,280,1092,1112,438,1550,438,0,168,0,10,2009,241000
38,14963,1996,1996,786,474,1260,1288,0,1288,500,120,30,0,12,2008,245500
65,8767,2005,2005,24,1286,1310,1310,0,1310,400,0,0,0,7,2006,164990
60,10200,1940,1997,0,672,672,672,0,672,240,168,0,0,8,2008,108000
93,12090,1998,1998,0,1141,1141,1165,1098,2263,420,144,123,0,7,2006,258000
70,10364,1995,1996,0,806,806,806,766,1572,373,0,40,0,5,2007,168000
70,9991,1976,1993,1116,165,1281,1620,0,1620,490,120,78,0,6,2009,150000
51,10480,1936,1950,0,1064,1064,1166,0,1639,240,0,0,0,3,2008,115000
63,15576,1915,1976,0,840,840,840,840,1680,308,0,0,160,3,2008,177000
109,14154,2006,2006,0,1063,1063,1071,1101,2172,947,192,62,0,8,2007,280000
85,10800,2007,2008,789,245,1034,1050,1028,2078,836,0,102,0,4,2008,339750
68,9571,1958,1958,0,1276,1276,1276,0,1276,350,0,0,0,6,2009,60000
100,34650,1955,1955,1056,0,1056,1056,0,1056,572,264,0,0,1,2006,145000
70,4403,2009,2009,578,892,1470,1478,0,1478,484,0,144,0,6,2010,222000
56,8960,1927,1950,0,1008,1008,1028,0,1028,360,0,0,130,3,2010,115000
59,11228,1993,1993,50,499,1080,1080,1017,2097,678,196,187,0,12,2008,228000
73,8899,2007,2007,24,1316,1340,1340,0,1340,396,100,30,0,8,2007,181134
74,7844,1978,1978,209,463,672,672,728,1400,440,0,0,0,3,2006,149500
86,22420,1918,1950,1128,242,1370,1370,1254,2624,864,0,0,0,11,2007,239000
60,8160,1940,1950,312,444,756,756,378,1134,240,0,0,0,4,2007,126000
65,8450,1968,1968,775,281,1056,1056,0,1056,304,0,85,184,7,2010,142000
78,7060,1997,1998,1309,35,1344,1344,0,1344,784,0,0,0,11,2008,206300
70,16635,1977,2000,1246,356,1602,1602,0,1602,529,240,0,0,6,2009,215000
100,21750,1954,1954,0,988,988,988,0,988,520,0,0,0,2,2008,113000
80,9200,1998,1998,986,484,1470,1470,1160,2630,696,0,66,0,6,2008,315000
72,9000,1956,1956,616,580,1196,1196,0,1196,297,0,44,0,5,2008,139000
60,3378,1946,1992,0,651,651,707,682,1389,240,0,0,126,9,2009,135000
70,12800,1989,1989,1518,0,1518,1644,0,1644,569,80,0,0,8,2009,275000
77,8593,1957,1957,288,619,907,907,0,907,352,0,0,0,7,2008,109008
64,6762,2007,2007,664,544,1208,1208,0,1208,628,105,54,0,9,2007,195400
130,11457,1988,1988,1005,387,1392,1412,0,1412,576,0,0,169,3,2009,175000
21,1680,1971,1971,387,96,483,483,504,987,264,0,0,0,7,2008,85400
60,5586,1920,1998,0,901,901,1088,110,1198,0,0,98,0,9,2008,79900
24,1920,1971,1971,471,294,765,765,600,1365,440,240,36,0,8,2007,122500
100,10839,1997,1998,0,926,926,926,678,1604,470,0,36,0,7,2008,181000
21,1890,1972,1972,495,135,630,630,0,630,0,88,0,0,6,2008,81000
43,10667,1996,1996,385,70,799,827,834,1661,550,158,61,0,4,2009,212000
40,4400,1920,1950,0,648,648,734,384,1118,440,0,0,0,10,2006,116000
50,6000,1926,2004,0,884,884,904,0,904,180,0,0,105,1,2009,119000
40,4280,1913,2002,365,75,440,694,0,694,352,0,0,34,3,2007,90350
67,12354,1920,2000,0,684,684,684,512,1196,528,0,46,0,8,2009,110000
105,15431,2008,2008,1767,788,3094,2402,0,2402,672,0,72,0,4,2009,555000
92,12108,1955,1955,133,1307,1440,1440,0,1440,0,0,0,0,9,2008,118000
52,6240,1930,1992,0,1078,1078,1128,445,1573,360,0,0,0,6,2008,162900
53,3922,2006,2007,0,1258,1258,1258,0,1258,648,144,16,0,6,2007,172500
70,8750,1994,1995,642,273,915,933,975,1908,493,144,133,0,7,2008,210000
73,9855,1956,1956,0,1436,1436,1689,0,1689,480,0,0,0,11,2009,127500
137,16492,1966,2002,247,557,1517,1888,0,1888,578,0,0,0,6,2010,190000
70,11214,1998,1999,0,930,930,956,930,1886,431,89,0,0,7,2006,199900
50,8600,1937,1950,0,780,780,780,596,1376,198,0,0,0,6,2006,119500
50,6000,1948,2002,331,318,649,679,504,1183,308,0,176,0,6,2007,120000
70,5684,1930,2005,0,813,813,813,0,813,270,0,113,0,6,2006,110000
62,70761,1975,1975,655,878,1533,1533,0,1533,576,200,54,0,12,2006,280000
70,9303,1996,1997,742,130,872,888,868,1756,422,144,122,0,7,2007,204000
75,9000,2008,2008,0,768,768,786,804,1590,676,0,30,0,6,2009,210000
63,9297,1976,1976,1606,122,1728,1728,0,1728,560,0,0,0,7,2006,188000
80,9600,1973,1973,916,326,1242,1242,0,1242,528,0,0,0,9,2007,175500
34,4571,1916,1950,0,624,624,624,720,1344,513,0,0,96,5,2008,98000
70,53227,1954,1994,1116,248,1364,1663,0,1663,529,224,137,0,3,2008,256000
70,5100,1925,1996,0,588,588,833,833,1666,228,192,63,0,6,2008,161000
70,7015,1950,1950,185,524,709,979,224,1203,352,0,0,248,7,2009,110000
75,8004,2009,2009,544,288,832,832,1103,1935,552,0,150,0,12,2009,263435
60,7200,1936,2007,350,0,560,575,560,1135,576,256,0,0,4,2009,155000
60,8281,1965,1965,553,0,864,864,0,864,360,0,0,236,12,2009,62383
74,11988,1934,1995,326,389,715,849,811,1660,240,0,0,0,8,2008,188700
60,8430,1978,1978,616,424,1040,1040,0,1040,0,0,0,0,8,2009,124000
70,3072,2004,2004,0,1375,1375,1414,0,1414,398,144,20,0,5,2006,178740
85,10628,1970,1970,778,499,1277,1277,0,1277,526,0,0,0,4,2007,167000
79,9480,1942,1995,386,342,728,888,756,1644,312,168,0,0,6,2007,146500
98,11428,2006,2006,0,1626,1626,1634,0,1634,866,0,44,0,5,2007,250000
76,9291,1993,1993,426,406,832,832,878,1710,506,144,70,0,6,2008,187000
70,6820,1985,1985,368,0,1488,1502,0,1502,528,0,54,0,6,2010,212000
92,11952,1977,1977,0,808,808,1161,808,1969,534,0,0,0,11,2007,190000
35,3675,2005,2005,459,88,547,1072,0,1072,525,0,28,0,6,2008,148000
110,14977,2006,2007,1350,626,1976,1976,0,1976,908,250,63,0,7,2007,440000
41,5330,2000,2000,1196,298,1494,1652,0,1652,499,96,48,0,8,2007,251000
80,8480,1963,1963,630,340,970,970,0,970,624,0,24,0,7,2007,132500
75,13125,1997,1998,994,484,1478,1493,0,1493,508,140,39,0,4,2008,208900
105,13693,2006,2006,0,2153,2153,2069,574,2643,694,414,84,0,3,2007,380000
79,10637,2007,2008,1288,417,1705,1718,0,1718,826,208,44,0,9,2009,297000
50,5925,1937,2000,168,739,907,1131,0,1131,672,0,72,0,3,2007,89471
98,16033,2004,2005,1261,572,1833,1850,0,1850,772,519,112,0,3,2006,326000
72,11846,2003,2004,1567,225,1792,1792,0,1792,874,206,49,0,8,2006,374000
50,2500,1915,2005,299,611,910,916,910,1826,164,0,0,0,6,2009,155000
32,4500,1998,1998,897,319,1216,1216,0,1216,402,0,125,0,5,2006,164000
70,7758,1962,2001,588,411,999,999,0,999,264,0,132,0,3,2007,132500
80,9600,1950,2007,607,506,1113,1113,0,1113,264,0,80,120,7,2009,147000
79,10289,1965,1965,836,237,1073,1073,0,1073,515,0,0,0,6,2007,156000
70,12243,1971,1971,998,486,1484,1484,0,1484,487,224,0,0,2,2007,175000
60,10800,1900,1970,664,290,954,1766,648,2414,520,142,0,0,5,2006,160000
21,1526,1970,2002,515,115,630,630,0,630,286,0,0,0,5,2009,86000
70,2665,1976,1976,0,264,264,616,688,1304,336,141,24,0,6,2008,115000
79,9490,1941,1950,403,238,806,958,620,1578,240,0,0,32,8,2006,133000
105,15578,2006,2006,0,728,728,728,728,1456,429,0,0,0,5,2006,172785
70,7931,1960,1960,374,363,1269,1269,0,1269,308,0,0,0,6,2008,155000
50,5784,1938,1996,0,190,190,886,0,886,273,144,20,80,12,2009,91300
60,7879,1920,1950,495,225,720,720,0,720,0,0,523,115,11,2009,34900
70,12692,1992,1993,1231,1969,3200,3228,0,3228,546,264,75,291,5,2007,430000
60,9120,1925,1950,329,697,1026,1133,687,1820,240,0,100,0,6,2008,184000
65,7800,1967,2004,450,414,864,899,0,899,288,64,0,0,6,2009,130000
70,7535,1958,1985,111,522,912,912,0,912,297,12,285,0,6,2007,120000
21,1890,1973,1973,356,316,672,672,546,1218,264,144,28,0,5,2007,113000
75,9803,2005,2005,400,466,866,866,902,1768,603,0,108,0,2,2008,226700
70,9170,1965,1965,698,420,1214,1214,0,1214,461,0,0,184,4,2007,140000
100,15602,1959,1997,1247,254,1501,1801,0,1801,484,0,54,0,3,2010,289000
24,2308,1974,1974,257,103,855,855,467,1322,440,260,0,0,6,2009,147000
60,7596,1952,1952,0,960,960,960,1000,1960,400,0,0,0,7,2009,124500
80,9554,1993,1994,380,397,777,1065,846,1911,471,182,81,0,9,2006,215000
75,7862,2009,2009,27,1191,1218,1218,0,1218,676,0,102,0,9,2009,208300
60,9600,1928,2005,141,548,689,689,689,1378,360,0,0,116,10,2008,161000
80,9600,1959,1959,991,50,1041,1041,0,1041,270,224,88,0,7,2009,124500
75,14559,1951,2000,650,178,1008,1363,0,1363,288,324,42,0,6,2009,164900
40,6792,2005,2006,0,1368,1368,1368,0,1368,474,132,35,0,3,2006,202665
70,9100,1958,1958,521,169,864,864,0,864,624,0,0,0,7,2006,129900
71,9187,1983,1983,336,748,1084,1080,0,1080,484,120,0,158,6,2007,134000
55,10594,1926,1950,0,768,768,789,0,789,200,0,0,112,6,2007,96500
94,12220,2009,2009,1436,570,2006,2020,0,2020,900,156,54,0,9,2009,402861
70,10448,1972,1972,0,689,689,1378,741,2119,583,0,104,0,8,2009,158000
79,10208,1996,1997,0,1264,1264,1277,1067,2344,889,220,0,0,7,2009,265000
70,9531,1998,1998,706,88,794,882,914,1796,546,0,36,0,5,2007,211000
53,10918,1926,2004,0,1276,1276,1276,804,2080,282,0,0,0,6,2009,234000
60,10800,1900,2000,0,0,0,694,600,1294,0,220,114,210,8,2008,106250
90,11988,1957,1957,777,467,1244,1244,0,1244,336,0,40,0,5,2007,150000
50,5000,1947,1950,399,605,1004,1004,660,1664,420,0,24,36,10,2006,159000
130,40094,2007,2008,2260,878,3138,3138,1538,4676,884,208,406,0,10,2007,184750
95,11787,1996,1997,719,660,1379,1383,1015,2398,834,239,60,0,8,2007,315750
62,7500,2005,2005,0,1257,1257,1266,0,1266,453,38,144,0,4,2006,176000
70,13300,1956,2000,377,551,928,928,0,928,252,261,0,156,6,2007,132000
67,14948,2008,2008,1330,122,1452,1476,1237,2713,858,126,66,0,11,2008,446261
58,9098,1920,2002,348,180,528,605,0,605,0,0,0,144,7,2007,86000
70,32668,1957,1975,1219,816,2035,2515,0,2515,484,0,0,200,3,2007,200624
85,10200,1988,1989,783,678,1461,1509,0,1509,600,224,0,0,8,2008,175000
60,6155,1920,1999,0,611,611,751,611,1362,502,0,0,84,6,2008,128000
60,7200,1955,2007,0,0,0,827,0,827,392,0,0,0,4,2010,107500
50,5000,1946,1950,0,0,0,334,0,334,0,0,0,0,1,2007,39300
74,9056,2004,2004,0,707,707,707,707,1414,403,100,35,0,10,2006,178000
70,7000,1910,1991,969,148,1117,820,527,1347,0,85,0,148,1,2008,107500
57,8924,1998,1999,0,880,880,880,844,1724,527,120,155,0,7,2008,188000
70,12735,1972,1972,600,264,864,864,0,864,576,216,0,0,4,2008,111250
70,11553,1968,1968,673,378,1051,1159,0,1159,336,466,0,0,7,2006,158000
70,11423,2001,2002,1358,223,1581,1601,0,1601,670,180,0,0,5,2010,272000
85,14601,2006,2006,1260,578,1838,1838,0,1838,765,270,68,0,3,2009,315000
70,11000,2000,2000,0,969,969,997,1288,2285,648,0,56,0,6,2007,248000
78,10140,1998,1999,144,379,1650,1680,0,1680,583,78,73,0,6,2009,213250
34,4058,1998,1998,584,0,723,767,0,767,367,120,40,0,6,2007,133000
58,17104,2006,2006,554,100,654,664,832,1496,426,100,24,0,9,2006,179665
70,13837,1988,1988,1002,0,1204,1377,806,2183,786,0,0,0,2,2006,229000
70,8737,1923,1950,300,765,1065,915,720,1635,440,0,38,0,5,2007,210000
54,7244,1970,1970,619,149,768,768,0,768,624,104,0,0,4,2007,129500
49,8235,1955,1995,180,0,825,825,0,825,720,140,50,0,6,2008,125000
75,9375,2003,2004,0,912,912,912,1182,2094,615,182,182,0,11,2009,263000
53,4043,1977,1977,559,510,1069,1069,0,1069,440,0,55,0,10,2008,140000
50,6000,1957,1957,308,620,928,928,0,928,288,0,0,0,6,2008,112500
87,11146,2006,2006,0,1709,1709,1717,0,1717,908,169,39,0,7,2009,255500
67,8777,1949,2003,0,0,0,1126,0,1126,520,0,96,0,5,2009,108000
85,10625,2003,2004,866,132,998,1006,1040,2046,871,320,62,0,8,2008,284000
58,6380,1922,1950,0,993,993,1048,0,1048,280,0,0,116,8,2006,113000
69,14850,1957,1957,895,197,1092,1092,0,1092,299,268,0,0,5,2006,141000
60,11040,1920,1950,637,0,637,897,439,1336,570,0,47,120,9,2006,108000
57,21872,1996,1997,604,125,729,729,717,1446,406,264,22,0,8,2008,175000
70,3196,2003,2004,0,1374,1374,1557,0,1557,420,143,20,0,10,2006,234000
70,11341,1957,1996,1302,90,1392,1392,0,1392,528,0,0,0,5,2010,121500
77,10010,1974,1975,1071,195,1389,1389,0,1389,418,240,38,0,4,2006,170000
63,13907,1940,1969,290,706,996,996,0,996,0,144,0,0,7,2008,108000
66,21780,1918,1950,0,1163,1163,1163,511,1674,396,72,36,0,7,2008,185000
70,13346,1992,2000,728,367,1095,1166,1129,2295,590,0,40,0,7,2006,268000
66,6858,1915,1950,0,806,806,841,806,1647,216,0,66,136,5,2010,128000
77,11198,2005,2007,0,1122,1122,1134,1370,2504,656,144,39,0,6,2008,325000
70,10171,2004,2004,2,1515,1517,1535,0,1535,532,0,0,0,3,2010,214000
79,12327,1983,2009,1441,55,1496,1496,636,2132,612,349,40,0,9,2009,316600
70,7032,1979,1979,943,0,943,943,0,943,600,42,0,0,12,2006,135960
74,13101,1965,1965,231,1497,1728,1728,0,1728,576,0,0,0,11,2008,142600
60,7332,1959,1959,414,450,864,864,0,864,288,168,0,0,10,2006,120000
83,13159,2009,2009,0,846,846,846,846,1692,650,208,114,0,7,2009,224500
76,9967,2000,2000,0,384,384,774,656,1430,400,100,0,0,12,2007,170000
70,10500,1971,2005,349,23,372,576,533,1109,288,35,0,0,12,2007,139000
80,8480,1947,1950,442,390,832,832,384,1216,336,158,0,102,10,2008,118500
52,6292,1928,1950,0,861,861,877,600,1477,216,0,50,0,8,2009,145000
96,11777,1966,1966,328,285,1164,1320,0,1320,564,160,68,240,5,2006,164500
34,3604,2007,2007,0,689,689,703,689,1392,540,0,102,0,2,2008,146000
81,12150,1954,1954,0,1050,1050,1050,745,1795,352,0,0,0,11,2008,131500
70,14585,1960,1987,594,331,1144,1429,0,1429,572,216,110,0,6,2007,181900
98,12704,2008,2009,0,2042,2042,2042,0,2042,1390,0,90,0,8,2009,253293
81,11841,1990,1990,816,0,816,816,0,816,0,0,32,0,5,2007,118500
75,13500,1893,2000,0,1237,1237,1521,1254,2775,880,105,502,0,7,2008,325000
51,6120,1935,1995,0,884,884,989,584,1573,240,0,0,54,7,2009,133000
88,11443,2005,2006,1460,408,1868,2028,0,2028,880,326,66,0,3,2006,369900
55,10267,1918,2000,210,0,816,838,0,838,275,0,0,112,5,2008,130000
74,8740,1982,1982,672,168,840,860,0,860,528,0,0,0,7,2009,137000
65,25095,1968,2003,1324,113,1437,1473,0,1473,452,0,48,0,6,2009,143000
50,9100,1930,1960,0,742,742,779,0,935,308,0,0,0,8,2008,79500
64,8320,2004,2004,490,280,770,770,812,1582,520,0,45,0,9,2008,185900
97,13478,2008,2008,1338,384,1722,1728,568,2296,842,382,274,0,6,2009,451950
60,6600,1982,2003,816,0,816,816,0,816,816,0,0,0,6,2008,138000
70,4435,2003,2003,685,163,848,848,0,848,420,140,0,0,5,2009,140000
88,7990,1975,1975,0,924,924,924,0,924,280,0,0,0,4,2008,110000
69,11302,2005,2006,1422,392,1814,1826,0,1826,758,180,75,0,8,2006,319000
60,3600,1910,1993,0,684,684,684,684,1368,216,0,158,0,10,2006,114504
53,3922,2006,2007,0,1258,1258,1402,0,1402,648,120,16,0,2,2007,194201
80,12984,1977,1977,1283,0,1430,1647,0,1647,621,0,0,0,3,2006,217500
24,1950,1980,1980,81,23,716,716,840,1556,452,161,0,0,7,2008,151000
74,10927,2005,2005,546,512,1058,1058,846,1904,736,179,60,0,6,2006,275000
50,9000,1937,1950,0,780,780,780,595,1375,544,0,162,0,12,2007,141000
80,10041,1992,1992,789,119,908,927,988,1915,506,120,150,0,2,2006,220000
30,3182,2004,2005,0,600,600,600,600,1200,480,0,172,0,6,2010,151000
88,12803,2002,2002,922,572,1494,1494,0,1494,530,192,36,0,9,2008,221000
85,13600,1965,1990,454,314,768,1186,800,1986,486,0,42,0,10,2009,205000
82,12464,1996,1996,732,308,1040,1040,0,1040,576,168,0,0,11,2009,152000
78,7800,1948,2002,603,293,896,1112,896,2008,230,103,0,0,8,2006,225000
78,12168,1934,1998,428,537,965,1940,1254,3194,380,0,0,0,9,2007,359100
61,7943,1961,1961,903,126,1029,1029,0,1029,261,64,0,39,4,2007,118500
70,11050,2000,2000,904,536,1440,1476,677,2153,736,253,142,0,5,2009,313000
70,10395,1978,1978,605,427,1032,1032,0,1032,564,0,0,0,7,2007,148000
70,11885,2001,2001,990,309,1299,1299,573,1872,531,160,122,0,11,2009,261500
70,8402,2007,2007,206,914,1120,1120,0,1120,0,0,30,0,12,2007,147000
21,1491,1972,1972,150,0,630,630,0,630,0,96,24,0,5,2010,75500
80,8800,1963,1963,763,173,936,1054,0,1054,480,120,0,0,5,2010,137500
70,7861,2002,2003,457,326,783,807,702,1509,393,100,75,0,6,2006,183200
59,7227,1954,1954,0,832,832,832,0,832,528,0,0,0,6,2008,105500
90,11694,2007,2007,48,1774,1822,1828,0,1828,774,0,108,0,7,2007,314813
85,12244,2003,2003,871,611,1482,1482,780,2262,749,168,0,0,8,2008,305000
45,8248,1914,1950,41,823,864,864,0,864,0,0,0,100,9,2008,67000
90,10800,1974,1997,956,384,1522,1548,1066,2614,624,38,243,0,6,2008,240000
71,7064,1977,1977,560,420,980,980,0,980,484,192,0,0,7,2009,135000
70,2117,2000,2000,420,336,756,756,756,1512,440,0,32,0,6,2007,168500
80,10400,1972,1972,247,485,732,1012,778,1790,484,148,0,0,11,2006,165150
87,10000,1962,1962,0,1116,1116,1116,0,1116,440,0,0,0,2,2010,160000
70,12342,1960,1978,0,978,978,1422,0,1422,286,0,0,36,8,2007,139900
80,9600,1955,1972,674,350,1156,1520,0,1520,364,0,0,189,3,2010,153000
70,11606,1969,1969,650,390,1040,1040,1040,2080,504,335,0,0,9,2007,135000
82,9020,1964,1964,624,288,1248,1350,0,1350,520,176,0,0,6,2008,168500
50,9000,1880,1991,0,636,636,1089,661,1750,240,0,0,293,6,2006,124000
34,4590,2006,2006,24,1530,1554,1554,0,1554,627,156,73,0,8,2007,209500
85,11900,1977,1977,822,564,1386,1411,0,1411,544,192,0,0,4,2009,82500
80,9250,1954,2005,480,108,1056,1056,0,1056,260,390,0,0,7,2007,139400
64,6979,1980,1980,1056,0,1056,1056,0,1056,576,264,56,0,6,2010,144000
60,10896,1914,1995,256,1184,1440,1440,1440,3395,0,0,110,0,3,2007,200000
51,6120,1936,1950,0,264,264,800,0,800,0,0,0,0,1,2009,60000
50,6000,1954,1954,0,811,811,811,576,1387,256,0,0,0,11,2009,93000
67,8777,1910,1950,0,796,796,796,0,796,0,328,0,164,5,2008,85000
53,3982,2006,2006,1154,366,1520,1567,0,1567,648,312,0,0,10,2006,264561
62,12677,2003,2004,1218,300,1518,1518,0,1518,588,185,140,0,4,2008,274000
70,7050,2001,2001,738,319,1057,1057,872,1929,650,0,235,0,5,2007,226000
75,13860,1972,1995,1410,542,1952,2000,704,2704,538,269,111,0,7,2009,345000
80,10793,1969,1969,493,0,780,780,840,1620,462,208,0,0,4,2007,152000
85,9187,2009,2009,1121,645,1766,1766,0,1766,478,195,130,0,10,2009,370878
70,10530,1971,1971,282,664,981,981,0,981,576,0,312,40,3,2007,143250
60,7200,1950,1950,0,0,0,1048,0,1048,420,0,27,0,7,2008,98300
85,10452,1953,1953,500,594,1094,1094,0,1094,495,0,0,0,6,2008,155000
70,7700,1966,1966,0,756,756,1051,788,1839,442,0,124,216,6,2010,155000
21,1936,1970,1970,131,0,630,630,0,630,0,0,0,0,12,2007,84500
65,8125,2007,2007,0,813,813,822,843,1665,562,0,0,0,5,2008,205950
60,9084,1940,1950,0,755,755,755,755,1510,296,120,0,0,10,2009,108000
70,8750,1996,1996,0,880,880,909,807,1716,512,0,120,0,7,2009,191000
60,10320,1906,1995,0,756,756,756,713,1469,216,57,0,239,6,2008,135000
91,10437,1995,1995,1696,413,2109,2113,0,2113,839,236,46,0,8,2008,350000
21,1680,1971,1971,0,525,525,525,567,1092,264,0,0,0,3,2010,88000
72,10007,1959,2006,806,247,1053,1053,0,1053,312,0,0,0,8,2008,145500
60,7200,1931,2000,0,776,776,851,651,1502,270,0,0,112,2,2008,149000
78,17503,1948,1950,0,912,912,912,546,1458,330,192,0,0,1,2010,97500
75,9937,1964,1999,637,849,1486,1486,0,1486,480,0,0,0,3,2009,167000
70,12384,1976,1976,0,793,793,1142,793,1935,550,0,113,252,11,2007,197900
52,46589,1994,2005,1361,88,1629,1686,762,2448,711,517,76,0,7,2009,402000
120,13560,1968,1968,0,1392,1392,1392,0,1392,576,0,0,240,7,2009,110000
90,10012,1972,1972,920,38,1138,1181,0,1181,588,0,0,180,4,2008,137500
49,20896,2005,2006,1721,356,2077,2097,0,2097,1134,192,267,0,1,2006,423000
106,11194,2000,2000,0,1406,1406,1454,482,1936,504,188,124,0,11,2006,230500
70,18450,1965,1979,187,111,1021,1465,915,2380,596,0,265,0,8,2007,129000
